Candidate, Parent Frame, Method Type, Gripper Type, Gripper Params, Gripper DOFs,X, Y, Z, Roll, Pitch, Yaw, qX, qY, qZ, qW
candidate_0,linear_groundtruth_frame_id,3,5,[],[],0.0022485,0.178058,0.025107,3.0889,-0.062982,0.0814573,0.998363,0.0398544,0.0325208,0.0250255
candidate_1,linear_groundtruth_frame_id,3,5,[],[],0.002783,0.16541,0.0249872,3.05894,-0.0577195,0.052251,0.99842,0.0248976,0.0299,0.0405296
candidate_2,linear_groundtruth_frame_id,3,5,[],[],0.00345118,0.157968,0.0256549,3.10834,-0.0732022,0.0510495,0.998882,0.0248932,0.037,0.0156729
candidate_3,linear_groundtruth_frame_id,3,5,[],[],0.00456882,0.146834,0.0254504,3.08266,-0.0587514,0.0487393,0.998859,0.023481,0.0300677,0.028727
candidate_4,linear_groundtruth_frame_id,3,5,[],[],0.00370061,0.136293,0.0253061,3.07098,-0.0584754,0.079501,0.998202,0.0386672,0.0305945,0.0340957
candidate_5,linear_groundtruth_frame_id,3,5,[],[],0.00288269,0.12643,0.0254992,3.09512,-0.0588464,0.0652743,0.998787,0.0319253,0.0301532,0.0222525
candidate_6,linear_groundtruth_frame_id,3,5,[],[],0.00336343,0.115898,0.0251198,3.07425,-0.0752165,0.0694923,0.998168,0.0334298,0.0387241,0.0323172
candidate_7,linear_groundtruth_frame_id,3,5,[],[],0.00372596,0.106019,0.0252501,3.0708,-0.0717273,0.0807626,0.997968,0.0390512,0.037232,0.0338914
candidate_8,linear_groundtruth_frame_id,3,5,[],[],0.00269111,0.096532,0.0252756,3.09979,-0.0791411,0.104525,0.997678,0.0513609,0.0405884,0.0187866
candidate_9,linear_groundtruth_frame_id,3,5,[],[],0.00289749,0.0831301,0.0246601,3.07909,-0.0780231,0.105034,0.997438,0.0512106,0.0405678,0.0291322
candidate_10,linear_groundtruth_frame_id,3,5,[],[],0.00419673,0.0728082,0.0250276,3.01673,-0.0299823,0.0717727,0.997331,0.0348701,0.01719,0.061808
