Candidate, Parent Frame, Method Type, Gripper Type, Gripper Params, Gripper DOFs,X, Y, Z, Roll, Pitch, Yaw, qX, qY, qZ, qW
candidate_0,6dmimic_base,3,5,[],[],-0.0374162,1.48776,0.0766395,3.02266,-0.0634549,-1.23133,0.813448,-0.57773,-0.00845233,0.0667816
candidate_1,6dmimic_base,3,5,[],[],-0.0338813,1.47936,0.076137,3.02826,-0.0837758,-1.21975,0.816327,-0.573289,0.00186134,0.07033
candidate_2,6dmimic_base,3,5,[],[],-0.0286241,1.46418,0.075618,3.05894,-0.0993598,-1.19755,0.823148,-0.564148,0.0177275,0.0620509
candidate_3,6dmimic_base,3,5,[],[],-0.0254959,1.4554,0.0761377,3.08001,-0.09537,-1.15591,0.835432,-0.546661,0.0231054,0.0517868
candidate_4,6dmimic_base,3,5,[],[],-0.02238,1.44504,0.0755152,3.07452,-0.0880152,-1.16164,0.833924,-0.549104,0.0183783,0.0521299
candidate_5,6dmimic_base,3,5,[],[],-0.0171918,1.43506,0.0754432,3.06467,-0.115192,-1.1963,0.823152,-0.563594,0.0259188,0.0641125
candidate_6,6dmimic_base,3,5,[],[],-0.0198274,1.42695,0.0747482,3.05919,-0.106839,-1.15578,0.834511,-0.546858,0.0222172,0.0635946
candidate_7,6dmimic_base,3,5,[],[],-0.0143698,1.41642,0.07453,3.07675,-0.103109,-1.15017,0.836682,-0.544301,0.0256112,0.0551803
candidate_8,6dmimic_base,3,5,[],[],-0.0138592,1.40698,0.0739868,3.05819,-0.093499,-1.16925,0.83121,-0.552428,0.0159548,0.0604959
