Candidate, Parent Frame, Method Type, Gripper Type, Gripper Params, Gripper DOFs,X, Y, Z, Roll, Pitch, Yaw, qX, qY, qZ, qW
candidate_0,6dmimic_base,3,5,[],[],-0.122532,1.53722,0.194765,3.07153,-0.0551018,-1.61568,0.689679,-0.722744,-0.0062804,0.0440937
candidate_1,6dmimic_base,3,5,[],[],-0.123422,1.53755,0.194664,3.07091,-0.0578454,-1.63487,0.682634,-0.729334,-0.00599209,0.0452427
candidate_2,6dmimic_base,3,5,[],[],-0.123155,1.53741,0.194878,3.07814,-0.0523599,-1.65096,0.677021,-0.734814,-0.00555934,0.0407338
candidate_3,6dmimic_base,3,5,[],[],-0.123388,1.53694,0.194605,3.06854,-0.0589677,-1.64771,0.677858,-0.733695,-0.00677003,0.0464169
candidate_4,6dmimic_base,3,5,[],[],-0.121456,1.53699,0.194678,3.06398,-0.0593412,-1.6704,0.669377,-0.741318,-0.00885917,0.0480001
candidate_5,6dmimic_base,3,5,[],[],-0.123493,1.5361,0.194435,3.06355,-0.0523599,-1.69422,0.660657,-0.749218,-0.0119032,0.0454233
candidate_6,6dmimic_base,3,5,[],[],-0.11947,1.5328,0.194398,3.05694,-0.0401426,-2.18042,0.461041,-0.886143,-0.0282411,0.0373373
candidate_7,6dmimic_base,3,5,[],[],-0.116204,1.53469,0.194461,3.04094,-0.041771,-2.18783,0.457397,-0.887594,-0.0351069,0.041615
candidate_8,6dmimic_base,3,5,[],[],-0.1199,1.53374,0.194236,3.04292,-0.055313,-2.19791,0.452587,-0.889928,-0.0313592,0.0470096
candidate_9,6dmimic_base,3,5,[],[],-0.117623,1.53492,0.194393,3.03338,-0.0390692,-2.19871,0.452478,-0.889921,-0.0393119,0.0419334
candidate_10,6dmimic_base,3,5,[],[],-0.121587,1.53535,0.194055,3.01917,-0.047747,-2.19463,0.453705,-0.888732,-0.0435631,0.0490915
candidate_11,6dmimic_base,3,5,[],[],-0.122557,1.53555,0.193793,3.00895,-0.0534821,-2.20198,0.449976,-0.89018,-0.0469945,0.0537809
candidate_12,6dmimic_base,3,5,[],[],-0.118179,1.52774,0.194895,3.08425,-0.0172037,-2.62834,0.253466,-0.966881,-0.0255469,0.0155931
candidate_13,6dmimic_base,3,5,[],[],-0.121929,1.52717,0.194276,3.08109,-0.0459598,-2.63859,0.248006,-0.968014,-0.0235731,0.0297703
candidate_14,6dmimic_base,3,5,[],[],-0.120083,1.52754,0.194474,3.07725,-0.0458446,-2.62567,0.254196,-0.966346,-0.0252504,0.0303543
candidate_15,6dmimic_base,3,5,[],[],-0.120639,1.52751,0.194408,3.07539,-0.0450051,-2.62286,0.255545,-0.965969,-0.0262107,0.0302214
candidate_16,6dmimic_base,3,5,[],[],-0.118383,1.52817,0.194724,3.0916,-0.0479966,-2.62173,0.256278,-0.965982,-0.0179813,0.0296044
candidate_17,6dmimic_base,3,5,[],[],-0.120135,1.52791,0.194443,3.08853,-0.0628319,-2.6287,0.252625,-0.966691,-0.0176814,0.0370977
