Candidate, Parent Frame, Method Type, Gripper Type, Gripper Params, Gripper DOFs,X, Y, Z, Roll, Pitch, Yaw, qX, qY, qZ, qW
candidate_0,6dmimic_base,3,5,[],[],-0.120192,1.54149,0.193926,3.06368,-0.0812817,-1.11015,0.84768,-0.527519,0.0139941,0.0544694
candidate_1,6dmimic_base,3,5,[],[],-0.122669,1.54171,0.193592,3.05694,-0.0684413,-1.1038,0.849511,-0.524761,0.00693699,0.053931
candidate_2,6dmimic_base,3,5,[],[],-0.120442,1.54113,0.194174,3.07215,-0.0639541,-1.10991,0.848394,-0.52726,0.00887613,0.046324
candidate_3,6dmimic_base,3,5,[],[],-0.126295,1.54204,0.194302,3.04635,-0.068567,-1.10143,0.849831,-0.523785,0.0042795,0.0584587
candidate_4,6dmimic_base,3,5,[],[],-0.132218,1.54363,0.195891,3.06891,-0.0613361,-0.516368,0.965478,-0.256114,0.0203551,0.0429356
candidate_5,6dmimic_base,3,5,[],[],-0.136081,1.54321,0.195508,3.05118,-0.0606205,-0.491253,0.968216,-0.244132,0.0183828,0.0511739
candidate_6,6dmimic_base,3,5,[],[],-0.134604,1.54378,0.195753,3.05898,-0.0567808,-0.5044,0.966857,-0.250357,0.017165,0.0470491
candidate_7,6dmimic_base,3,5,[],[],-0.138515,1.53913,0.195064,3.07614,-0.069314,-0.023438,0.998783,-0.0128391,0.0342459,0.033103
candidate_8,6dmimic_base,3,5,[],[],-0.136043,1.53945,0.195146,3.07141,-0.0663225,-0.0285484,0.998716,-0.0154202,0.0326309,0.0355362
candidate_9,6dmimic_base,3,5,[],[],-0.136585,1.53996,0.195132,3.07913,-0.0615857,-0.026056,0.998941,-0.0139764,0.0303638,0.0316075
candidate_10,6dmimic_base,3,5,[],[],-0.136977,1.53292,0.194815,3.04573,-0.0861931,0.426398,0.975767,0.209131,0.0521874,0.0376774
candidate_11,6dmimic_base,3,5,[],[],-0.140555,1.53223,0.19454,3.05084,-0.0649507,0.417134,0.977111,0.205295,0.0411211,0.0376403
candidate_12,6dmimic_base,3,5,[],[],-0.139384,1.53205,0.194509,3.04186,-0.0507385,0.402672,0.97852,0.198427,0.0347881,0.043757
candidate_13,6dmimic_base,3,5,[],[],-0.134184,1.52584,0.194995,3.02535,-0.0840079,0.905245,0.89806,0.434008,0.0630798,0.0338585
candidate_14,6dmimic_base,3,5,[],[],-0.13041,1.52354,0.195502,3.04136,-0.065949,0.907695,0.897875,0.436154,0.051545,0.0305634
candidate_15,6dmimic_base,3,5,[],[],-0.130875,1.52336,0.195334,3.0601,-0.0667257,0.886627,0.902666,0.427113,0.0475703,0.0224811
